px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
11.7252	21.0464	4.8832	3.12599	0.59805	11.6814	20.8651	11.785	21.117	-4.86022	0.286869	1.86417
11.4783	21.0329	4.88255	3.16131	0.604205	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281	1.07182
11.2598	21.0273	4.84974	3.18971	0.603516	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057	0.671615
11.0062	20.9886	4.85949	3.22924	0.613598	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565	4.12896
10.7932	20.9511	4.81825	3.26457	0.62023	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643	0.581553
10.5447	20.951	4.81276	3.26807	0.565871	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604	5.65518
10.2674	20.9778	4.87516	3.27213	0.53701	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674	3.40586
10.0283	20.9596	4.87198	3.29084	0.525446	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463	1.01981
9.83081	20.9213	4.81434	3.31842	0.528892	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327	1.68642
9.59463	20.914	4.79139	3.31502	0.472446	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189	2.32621
9.39892	20.8622	4.73763	3.34392	0.479864	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977	1.12533
9.1758	20.8213	4.72831	3.36572	0.479285	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362	1.49847
